,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,SHREECEM,EQ,02-Jan-2023,"23,289.45","23,296.50","23,519.95","23,139.00","23,450.00","23,454.70","23,355.43","23,428","54,71,71,057.30","7,714","7,662",32.7
1,SHREECEM,EQ,03-Jan-2023,"23,454.70","23,470.00","23,789.70","23,452.00","23,750.00","23,732.95","23,589.59","20,755","48,96,02,013.55","8,366","8,000",38.54
2,SHREECEM,EQ,04-Jan-2023,"23,732.95","23,699.95","24,590.00","23,660.00","24,050.00","24,007.55","24,141.43","94,884","2,29,06,35,360.60","31,571","22,307",23.51
3,SHREECEM,EQ,05-Jan-2023,"24,007.55","24,129.95","24,379.75","23,904.70","24,265.00","24,238.00","24,170.65","44,843","1,08,38,84,560.25","15,714","16,307",36.36
4,SHREECEM,EQ,06-Jan-2023,"24,238.00","24,300.00","24,366.65","23,552.10","23,799.00","23,853.05","23,923.82","28,542","68,28,33,751.25","9,705","6,135",21.49
5,SHREECEM,EQ,09-Jan-2023,"23,853.05","23,972.35","24,048.00","23,663.00","23,750.00","23,752.30","23,821.69","17,654","42,05,48,144.20","7,023","6,868",38.9
6,SHREECEM,EQ,10-Jan-2023,"23,752.30","23,840.00","23,900.00","23,205.00","23,571.65","23,559.50","23,498.87","31,716","74,52,90,100.10","10,569","10,649",33.58
7,SHREECEM,EQ,11-Jan-2023,"23,559.50","23,600.00","23,771.95","23,250.00","23,510.00","23,516.70","23,455.53","19,213","45,06,51,011.05","7,013","4,560",23.73
8,SHREECEM,EQ,12-Jan-2023,"23,516.70","23,530.00","24,000.00","23,504.55","23,816.35","23,854.85","23,800.75","37,645","89,59,79,308.75","11,410","17,841",47.39
9,SHREECEM,EQ,13-Jan-2023,"23,854.85","23,998.00","24,290.25","23,750.00","24,025.00","24,139.75","24,056.09","42,213","1,01,54,79,840.30","17,613","18,018",42.68
10,SHREECEM,EQ,16-Jan-2023,"24,139.75","24,120.00","24,280.00","23,980.50","24,050.00","24,060.40","24,131.82","25,269","60,97,86,905.90","6,883","12,578",49.78
11,SHREECEM,EQ,17-Jan-2023,"24,060.40","24,000.00","24,194.40","23,930.65","24,015.05","24,091.55","24,089.95","18,810","45,31,32,037.30","6,167","7,124",37.87
12,SHREECEM,EQ,18-Jan-2023,"24,091.55","24,015.05","24,138.60","23,817.00","24,057.55","24,059.90","23,987.32","22,616","54,24,97,192.75","7,934","8,297",36.69
13,SHREECEM,EQ,19-Jan-2023,"24,059.90","24,000.00","24,480.00","23,849.90","24,350.00","24,389.50","24,277.12","28,281","68,65,81,207.50","11,171","10,422",36.85
14,SHREECEM,EQ,20-Jan-2023,"24,389.50","24,350.00","24,773.00","24,200.00","24,308.35","24,420.95","24,529.10","44,330","1,08,73,74,840.10","16,335","19,625",44.27
15,SHREECEM,EQ,23-Jan-2023,"24,420.95","24,449.95","24,549.50","22,945.00","23,088.95","23,037.05","23,474.88","67,600","1,58,69,01,656.40","21,956","15,561",23.02
16,SHREECEM,EQ,24-Jan-2023,"23,037.05","23,152.25","23,347.70","22,440.05","22,605.00","22,608.40","22,701.32","84,528","1,91,88,97,379.70","26,305","14,584",17.25
17,SHREECEM,EQ,25-Jan-2023,"22,608.40","22,650.00","22,792.60","22,002.05","22,130.00","22,146.80","22,218.00","47,092","1,04,62,90,079.25","14,973","6,998",14.86
18,SHREECEM,EQ,27-Jan-2023,"22,146.80","22,257.55","22,379.90","21,410.00","21,725.00","21,901.20","21,823.55","52,018","1,13,52,17,507.10","19,800","15,560",29.91
19,SHREECEM,EQ,30-Jan-2023,"21,901.20","21,860.00","22,730.00","21,860.00","22,600.00","22,585.35","22,480.99","54,148","1,21,73,00,774.65","20,716","14,530",26.83
20,SHREECEM,EQ,31-Jan-2023,"22,585.35","22,704.20","23,743.60","22,704.20","23,690.05","23,684.55","23,332.79","82,554","1,92,62,15,296.55","25,243","36,419",44.12
21,SHREECEM,EQ,01-Feb-2023,"23,684.55","23,740.20","24,670.00","23,450.00","23,860.00","23,916.95","24,147.44","1,11,351","2,68,88,41,626.15","40,172","40,690",36.54
22,SHREECEM,EQ,02-Feb-2023,"23,916.95","23,850.00","24,699.90","23,750.00","24,460.00","24,523.25","24,408.97","72,967","1,78,10,49,571.10","27,825","19,523",26.76
23,SHREECEM,EQ,03-Feb-2023,"24,523.25","24,500.00","24,742.80","24,270.00","24,320.00","24,467.60","24,539.15","54,355","1,33,38,25,480.85","23,294","15,896",29.24
24,SHREECEM,EQ,06-Feb-2023,"24,467.60","24,318.95","24,359.95","24,000.00","24,000.00","24,120.95","24,160.73","30,089","72,69,72,125.65","13,016","8,339",27.71
25,SHREECEM,EQ,07-Feb-2023,"24,120.95","24,132.00","24,410.00","24,025.00","24,205.65","24,262.25","24,225.26","38,892","94,21,68,732.90","14,534","13,457",34.6
26,SHREECEM,EQ,08-Feb-2023,"24,262.25","24,368.85","24,604.85","23,750.00","24,300.00","24,239.95","24,173.65","81,785","1,97,70,41,904.70","24,759","16,067",19.65
27,SHREECEM,EQ,09-Feb-2023,"24,239.95","23,960.00","24,150.00","23,090.50","23,225.00","23,199.80","23,511.90","72,685","1,70,89,62,219.90","21,554","26,439",36.37
